COVID-19 Vaccinations in the United States
Date generated: Sun Oct 24 2021 16:28:43 GMT-0600 (Mountain Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
United States,503493015,151656,194956,413645478,124593,385821933,149393,220351217,66.4,205201180,79.5,190578704,57.4,178039457,68.9,282916545,196288420,24268700,19350,15432695,154735646,243046759,430378,69864273,105410569,15187097,116765,69784404,92981463,15159365,114225,175518201,66.4,205201180,79.5,52.9,163005783,63.1,220351217,52678218,96.3,46318073,84.7,26192967,27911602,3264868,50937,106614629,194920,920520,220116796,77.6,190445478,67.2,69860756,105284068,15183968,116686,413278303,145754,177570,12888226,6.8,12864032,7.2,10618740,22.9,7993957,17.3,1892281,10974662,15427,5856
Alaska,1130625,154553,204986,854656,116829,793669,143895,431503,59,399043,72.3,382736,52.3,355192,64.4,613965,444260,72400,0,35983,324896,493195,582,144516,204516,33632,72,144126,177504,33495,67,349393,59,399043,72.3,47.8,321983,58.4,431503,80686,88.1,75064,82,41535,30491,3222,29,169707,185294,1234470,430148,70.6,381864,62.7,144512,203650,33630,72,852408,139997,185690,41549,10.9,41381,11.7,29298,39,17552,23.4,N/A,N/A,N/A,N/A
Alabama,7061780,144024,185112,4766186,97206,4520004,118484,2650133,54,2509913,65.8,2176540,44.4,2070354,54.3,3605040,3139240,317500,0,141358,2060040,2564637,151,926649,1105953,143499,439,926215,1000285,143416,438,2034659,54,2509913,65.8,41.5,1928553,50.6,2650133,746815,87.9,648142,76.3,342913,271919,34810,289,1438329,169248,830957,2649724,63.3,2176454,52,926638,1105887,143490,439,4765732,113825,168664,150656,6.9,150320,7.3,126991,19.6,95459,14.7,N/A,N/A,N/A,N/A
Arkansas,4325610,143336,186638,3184386,105520,2968575,128086,1737710,57.6,1616761,69.8,1437716,47.6,1342172,57.9,2241090,1881720,202800,0,101174,1336570,1743615,3027,607026,729601,100342,747,605934,635694,99826,718,1338258,57.6,1616761,69.8,44.3,1243199,53.6,1737710,459355,87.7,393439,75.1,223999,161238,15346,420,900030,171800,825684,1733856,67.8,1436203,56.2,607015,728220,100223,745,3179090,124317,169151,108293,7.5,108092,8.1,85633,21.8,63164,16.1,N/A,N/A,N/A,N/A
American Samoa,70650,126865,162882,65441,117512,54185,124922,35202,63.2,29178,67.3,30797,55.3,25601,59,49350,20700,600,0,546,17918,46976,1,8281,21961,555,0,8265,16782,554,0,30244,63.2,29178,67.3,54.3,25049,57.7,35202,2902,30.8,2645,28,1119,1501,25,0,5452,57779,748728,35191,74,30790,64.7,8280,21955,555,0,65423,137568,148559,20,0.1,16,0.1,8,0.3,1,0,N/A,N/A,N/A,N/A
Arizona,10503020,144298,186274,8638806,118686,8049966,142768,4431814,60.9,4116230,73,3838342,52.7,3577700,63.5,5834400,4188820,479800,0,298223,3407393,4917440,15750,1480142,2064830,288745,4625,1479540,1805264,288326,4570,3552261,60.9,4116230,73,48.8,3292025,58.4,4431814,1183898,90.5,1041040,79.6,504388,490698,46908,2481,2524834,192937,802595,4430812,71.4,3837951,61.8,1480117,2064704,288506,4624,8637648,139181,169238,263863,6.9,263076,7.4,220678,21.2,171009,16.4,N/A,N/A,N/A,N/A
Bureau of Prisons,263010,N/A,N/A,236851,N/A,236849,N/A,126382,N/A,126380,N/A,120168,N/A,120167,N/A,139230,110780,13000,0,11975,95495,129351,30,45668,62558,11942,0,45668,62558,11941,0,108288,N/A,126380,N/A,0,108288,0,126382,3561,0,3514,0,1688,1654,172,0,7026,0,0,126380,0,120167,0,45668,62558,11941,0,236849,0,0,1841,1.5,1841,1.5,661,18.8,114,3.2,N/A,N/A,N/A,N/A
California,61499605,155647,200864,53203847,134652,49096194,160353,29218410,73.9,26947126,88,24027100,60.8,22187816,72.5,35338905,23231700,2929000,0,1912485,19765822,31511056,14484,8684745,13437172,1901026,4157,8659263,11631207,1893469,3877,22148107,73.9,26947126,88,56.1,20316286,66.4,29218410,5975467,99.9,4802212,82.3,2407387,2220414,190882,1295,11567249,198133,1053420,29136939,86.6,23978071,71.3,8684313,13388948,1900662,4148,53073111,157738,182783,1539155,6.4,1536650,6.9,1199653,25,875860,18.2,N/A,N/A,N/A,N/A
Colorado,8765245,152208,194817,7554225,131179,7015643,155930,3868772,67.2,3583611,79.6,3523058,61.2,3270786,72.7,4995885,3379560,389800,0,278445,2894150,4376072,5558,1326335,1920925,274203,1595,1322670,1673574,273002,1540,3252841,67.2,3583611,79.6,56.5,3001714,66.7,3868772,783438,93,721856,85.7,346282,353417,25291,569,1709120,202884,1040490,3856870,78.1,3514912,71.2,1326314,1912826,274178,1594,7534002,152632,177576,311872,8.9,311255,9.5,242305,33.6,189336,26.2,N/A,N/A,N/A,N/A
Connecticut,5979725,167721,210713,5288142,148323,4892169,172390,2789952,78.3,2579599,90.9,2506925,70.3,2325581,81.9,3331605,2367920,280200,0,209574,1895023,3182162,1383,889665,1407945,208902,413,889245,1227300,208725,311,2299126,78.3,2579599,90.9,64.5,2117945,74.6,2789952,650501,99.9,586541,93.1,231034,335708,20878,88,1362943,216256,948795,2788575,89.8,2506422,80.7,889434,1407758,208821,409,5286342,170201,192525,171833,6.9,171636,7.4,155532,26.5,129481,22.1,N/A,N/A,N/A,N/A
